t,count
1421318062,14
1421318067,14
1421318072,14
1421318077,14
1421318082,14
1421318087,14
1421318092,14
1421318097,14
1421318102,14
1421318107,14
1421318112,14
1421318117,14
1421318122,14
1421318127,14
1421318132,14
1421318137,14
1421318142,14
1421318147,14
1421318152,14
1421318157,14
1421318162,14
1421318167,14
1421318172,14
1421318177,14
1421318182,14
1421318187,14
1421318192,14
1421318197,14
1421318202,14
1421318207,14
1421318212,14
1421318217,14
1421318222,14
1421318227,14
1421318232,14
1421318237,14
1421318242,14
1421318247,14
1421318252,14
1421318257,14
1421318262,14
1421318267,14
1421318272,14
1421318277,14
1421318282,14
1421318287,14
1421318292,14
1421318297,14
1421318302,14
1421318307,14
1421318312,14
1421318317,14
1421318322,14
1421318327,14
1421318332,14
1421318337,14
1421318342,14
1421318347,14
1421318352,14
1421318357,14
1421318362,14
1421318367,14
1421318372,14
1421318377,14
1421318382,14
1421318387,14
1421318392,14
1421318397,14
1421318402,14
1421318407,14
1421318412,14
1421318417,14
1421318422,14
1421318427,14
1421318432,14
1421318437,14
1421318442,14
1421318447,14
1421318452,14
1421318457,14
1421318462,14
1421318467,14
1421318472,14
1421318477,14
1421318482,14
1421318487,14
1421318492,14
1421318497,14
1421318502,14
1421318507,14
1421318512,14
1421318517,14
1421318522,14
1421318527,14
1421318532,14
1421318537,14
1421318542,14
1421318547,14
1421318552,14
1421318557,14
1421318562,14
1421318567,14
1421318572,14
1421318577,14
1421318582,14
1421318587,14
1421318592,14
1421318597,14
1421318602,14
1421318607,14
1421318612,14
1421318617,14
1421318622,14
1421318627,14
1421318632,14
1421318637,14
1421318642,14
1421318647,14
1421318652,14
1421318657,14
1421318662,14
1421318667,14
1421318672,14
1421318677,14
1421318682,14
1421318687,14
1421318692,14
1421318697,14
1421318702,14
1421318707,14
1421318712,14
1421318717,14
1421318722,14
1421318727,14
1421318732,14
1421318737,14
1421318742,14
1421318747,14
1421318752,14
1421318757,14
1421318762,14
1421318767,14
1421318772,14
1421318777,14
1421318782,14
1421318787,14
1421318792,14
1421318797,14
1421318802,14
1421318807,14
1421318812,14
1421318817,14
1421318822,14
1421318827,14
1421318832,14
1421318837,14
1421318842,14
1421318847,14
1421318852,14
1421318857,14
1421318862,14
1421318867,14
1421318872,14
1421318877,14
1421318882,14
1421318887,14
1421318892,14
1421318897,14
1421318902,14
1421318907,14
1421318912,14
1421318917,14
1421318922,14
1421318927,14
1421318932,14
1421318937,14
1421318942,14
1421318947,14
1421318952,14
1421318957,14
1421318962,14
1421318967,14
1421318972,14
1421318977,14
1421318982,14
1421318987,14
1421318992,14
1421318997,14
1421319002,14
1421319007,14
1421319012,14
1421319017,14
1421319022,14
1421319027,14
1421319032,14
1421319037,14
1421319042,14
1421319047,14
1421319052,14
1421319057,14
1421319062,14
1421319067,14
1421319072,14
1421319077,14
1421319082,14
1421319087,14
1421319092,14
1421319097,14
1421319102,14
1421319107,14
1421319112,14
1421319117,14
1421319122,14
1421319127,14
1421319132,14
1421319137,14
1421319142,14
1421319147,14
1421319152,14
1421319157,14
1421319162,14
1421319167,14
1421319172,14
1421319177,14
1421319182,14
1421319187,14
1421319192,14
1421319197,14
1421319202,14
1421319207,14
1421319212,14
1421319217,14
1421319222,14
1421319227,14
1421319232,14
1421319237,14
1421319242,14
1421319247,14
1421319252,14
1421319257,14
1421319262,14
1421319267,14
1421319272,14
1421319277,14
1421319282,14
1421319287,14
1421319292,14
1421319297,14
1421319302,14
1421319307,14
1421319312,14
1421319317,14
1421319322,14
1421319327,14
1421319332,14
1421319337,14
1421319342,14
1421319347,14
1421319352,14
1421319357,14
1421319362,14
1421319367,14
1421319372,14
1421319377,14
1421319382,14
1421319387,14
1421319392,14
1421319397,14
1421319402,14
1421319407,14
1421319412,14
1421319417,14
1421319422,14
1421319427,14
1421319432,14
1421319437,14
1421319442,14
1421319447,14
1421319452,14
1421319457,14
1421319462,14
1421319467,14
1421319472,14
1421319477,14
1421319482,14
