t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1418983019,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983024,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983029,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983034,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983039,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983044,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983049,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983054,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983059,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983064,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983069,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983074,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983079,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983084,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983089,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983094,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983099,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983104,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983109,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983114,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983119,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983124,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983129,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983134,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983139,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983144,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983149,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983154,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983159,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983164,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983169,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983174,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983179,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983184,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983189,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983194,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983199,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983204,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983209,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418983214,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
