t,count
1418989256,566
1418989261,1354
1418989266,2072
1418989271,2663
1418989276,3351
1418989281,4081
1418989286,4759
1418989291,5429
1418989296,6170
1418989301,6788
1418989306,7388
1418989311,8116
1418989316,8722
1418989321,9359
1418989326,10229
1418989331,11297
1418989336,12079
1418989341,12784
1418989346,13509
1418989351,14068
1418989356,14799
1418989361,15373
1418989366,15892
1418989371,16427
1418989376,16863
1418989381,17225
1418989386,18213
1418989391,18958
1418989396,19425
1418989401,20217
1418989406,21003
1418989411,21763
1418989416,22463
1418989421,23070
1418989426,23756
1418989431,24274
1418989436,24953
1418989441,25500
1418989446,26084
1418989451,26640
1418989456,27141
1418989461,27682
1418989466,28167
1418989471,28656
1418989476,29115
1418989481,29673
1418989486,30342
1418989491,31183
1418989496,31923
1418989501,32584
1418989506,33367
1418989511,34090
1418989516,34700
1418989521,35556
1418989526,36255
1418989531,36881
1418989536,37454
1418989541,38148
1418989546,38607
1418989551,39630
1418989556,40388
1418989561,41122
1418989566,41730
1418989571,42512
1418989576,43184
1418989581,43717
1418989586,44274
1418989591,44784
1418989596,45195
1418989601,46306
1418989606,47029
1418989611,47855
1418989616,48473
1418989621,48819
1418989626,49372
1418989631,49925
1418989636,50576
1418989641,51208
1418989646,51779
1418989651,52325
1418989656,53002
1418989661,53469
1418989666,54036
1418989671,54536
1418989676,54993
1418989681,55599
1418989686,56076
1418989691,56525
1418989696,57049
1418989701,57487
1418989706,57885
1418989711,58739
1418989716,59371
1418989721,60075
1418989726,60814
1418989731,61432
1418989736,62011
1418989741,62704
1418989746,63311
1418989751,63892
1418989756,64583
1418989761,65218
1418989766,65728
1418989771,66236
1418989776,66737
1418989781,67169
1418989786,67798
1418989791,68280
1418989796,68700
1418989801,69247
1418989806,69623
1418989811,70067
1418989816,70752
1418989821,71430
1418989826,72032
1418989831,73323
1418989836,74347
1418989841,75278
1418989846,76352
1418989851,77192
1418989856,77884
1418989861,78506
1418989866,79182
1418989871,79835
1418989876,80359
1418989881,80829
1418989886,81274
1418989891,81922
1418989896,82508
1418989901,82808
1418989906,83246
1418989911,83623
1418989916,84117
1418989921,84511
1418989926,84967
1418989931,85457
1418989936,85887
1418989941,86820
1418989946,87352
1418989951,87975
1418989956,88694
1418989961,89256
1418989966,89972
1418989971,90676
1418989976,91121
1418989981,91759
1418989986,92394
1418989991,92817
1418989996,93514
1418990001,94036
1418990006,94661
1418990011,95156
1418990016,95599
1418990021,96168
1418990026,96495
1418990031,96935
1418990036,97400
1418990041,97764
1418990046,98364
1418990051,99032
1418990056,99739
1418990061,100498
1418990066,101133
1418990071,101826
1418990076,102597
1418990081,103110
1418990086,103688
1418990091,104236
1418990096,104657
1418990101,105280
1418990106,105810
1418990111,106357
1418990116,106872
1418990121,107130
1418990126,107361
1418990131,107970
1418990136,108385
1418990141,108652
1418990146,108902
1418990151,109278
1418990156,109516
1418990161,109795
1418990166,110230
1418990171,110558
1418990176,110904
1418990181,111282
1418990186,111570
1418990191,111972
1418990196,112197
1418990201,112522
1418990206,112723
1418990211,113024
1418990216,113280
1418990221,113524
1418990226,113770
1418990231,114058
1418990236,114414
1418990241,114588
1418990246,114781
1418990251,114946
1418990256,115237
1418990261,115390
1418990266,115599
1418990271,115707
1418990276,115944
1418990281,116141
1418990286,116261
1418990291,116431
1418990296,116569
1418990301,116771
1418990306,116923
1418990311,117452
1418990316,118135
1418990321,118786
1418990326,119337
1418990331,119751
1418990336,120178
1418990341,120571
1418990346,120954
1418990351,121470
1418990356,121914
1418990361,122405
1418990366,122709
1418990371,123046
1418990376,123411
1418990381,123757
1418990386,124073
1418990391,124408
1418990396,124792
1418990401,125187
1418990406,125510
1418990411,125731
1418990416,126181
1418990421,126862
1418990426,127334
1418990431,127782
1418990436,128134
1418990441,128644
1418990446,129091
1418990451,129519
1418990456,129884
1418990461,130295
1418990466,130725
1418990471,131123
1418990476,131529
1418990481,131872
1418990486,132216
1418990491,132596
1418990496,132916
1418990501,133216
1418990506,133625
1418990511,133927
1418990516,134241
1418990521,134424
1418990526,135215
1418990531,135735
1418990536,136197
1418990541,136512
1418990546,136962
1418990551,137514
1418990556,137952
1418990561,138228
1418990566,138654
1418990571,139009
1418990576,139502
